Team,Season,Date,Vs,Score,Type,B2B,Field,Result,OT,Pts_Scr,Pts_Allw,Spread_Result,Spread_Line,OU_Result,OU_Line
Atlanta Hawks,2007-2008,11/2/07,Dallas,W 101-94,Regular Season,FALSE,HOME,W,FALSE,101,94,W,5.5,O,191
Atlanta Hawks,2007-2008,11/4/07,@ Detroit,L 91-92,Regular Season,FALSE,ROAD,L,FALSE,91,92,W,7.5,U,191.5
Atlanta Hawks,2007-2008,11/6/07,@ New Jersey,L 82-87,Regular Season,FALSE,ROAD,L,FALSE,82,87,L,4,U,188.5
Atlanta Hawks,2007-2008,11/7/07,Phoenix,W 105-96,Regular Season,TRUE,HOME,W,FALSE,105,96,W,5.5,U,207
Atlanta Hawks,2007-2008,11/9/07,@ Boston,L 83-106,Regular Season,FALSE,ROAD,L,FALSE,83,106,L,9.5,U,191
Atlanta Hawks,2007-2008,11/11/07,Washington,L 90-101,Regular Season,FALSE,HOME,L,FALSE,90,101,L,-5.5,U,194
Atlanta Hawks,2007-2008,11/14/07,Charlotte,W 117-109,Regular Season,FALSE,HOME,W,FALSE,117,109,W,-5.5,O,187.5
Atlanta Hawks,2007-2008,11/16/07,Oklahoma City,L 123-126 (OT),Regular Season,FALSE,HOME,L,TRUE,123,126,L,-6,O,204.5
Atlanta Hawks,2007-2008,11/17/07,@ Milwaukee,L 96-105,Regular Season,TRUE,ROAD,L,FALSE,96,105,L,8.5,O,197
Atlanta Hawks,2007-2008,11/20/07,San Antonio,L 83-95,Regular Season,FALSE,HOME,L,FALSE,83,95,L,6,U,190
Atlanta Hawks,2007-2008,11/21/07,@ Miami,W 82-79,Regular Season,TRUE,ROAD,W,FALSE,82,79,W,7.5,U,187
Atlanta Hawks,2007-2008,11/24/07,@ Minnesota,W 94-87,Regular Season,FALSE,ROAD,W,FALSE,94,87,W,-4.5,U,190
Atlanta Hawks,2007-2008,11/27/07,@ Chicago,L 78-90,Regular Season,FALSE,ROAD,L,FALSE,78,90,L,5.5,U,182
Atlanta Hawks,2007-2008,11/28/07,Milwaukee,W 96-80,Regular Season,TRUE,HOME,W,FALSE,96,80,W,-3.5,U,198
Atlanta Hawks,2007-2008,11/30/07,New Orleans,L 86-92,Regular Season,FALSE,HOME,L,FALSE,86,92,L,1,U,186.5
Atlanta Hawks,2007-2008,12/3/07,@ Philadelphia,W 88-79,Regular Season,FALSE,ROAD,W,FALSE,88,79,W,3.5,U,180.5
Atlanta Hawks,2007-2008,12/4/07,Detroit,L 95-106,Regular Season,TRUE,HOME,L,FALSE,95,106,L,6,O,188
Atlanta Hawks,2007-2008,12/6/07,Minnesota,W 90-89,Regular Season,FALSE,HOME,W,FALSE,90,89,L,-9,U,189
Atlanta Hawks,2007-2008,12/8/07,Memphis,W 86-78,Regular Season,FALSE,HOME,W,FALSE,86,78,W,-4.5,U,204
Atlanta Hawks,2007-2008,12/10/07,@ Orlando,W 98-87,Regular Season,FALSE,ROAD,W,FALSE,98,87,W,10.5,U,194.5
Atlanta Hawks,2007-2008,12/11/07,Toronto,L 88-100,Regular Season,TRUE,HOME,L,FALSE,88,100,L,3,O,186
Atlanta Hawks,2007-2008,12/14/07,@ Detroit,L 81-91,Regular Season,FALSE,ROAD,L,FALSE,81,91,L,9.5,U,188.5
Atlanta Hawks,2007-2008,12/15/07,Charlotte,W 93-84,Regular Season,TRUE,HOME,W,FALSE,93,84,W,-6,U,184
Atlanta Hawks,2007-2008,12/17/07,Utah,W 116-111,Regular Season,FALSE,HOME,W,FALSE,116,111,W,4,O,188.5
Atlanta Hawks,2007-2008,12/19/07,Miami,W 114-111 (OT),Regular Season,FALSE,HOME,W,TRUE,114,111,W,-2,O,187
Atlanta Hawks,2007-2008,12/21/07,@ Washington,W 97-92,Regular Season,FALSE,ROAD,W,FALSE,97,92,W,4.5,U,190.5
Atlanta Hawks,2007-2008,12/26/07,Indiana,W 107-95,Regular Season,FALSE,HOME,W,FALSE,107,95,W,-2.5,U,202.5
Atlanta Hawks,2007-2008,12/29/07,@ Dallas,L 84-97,Regular Season,FALSE,ROAD,L,FALSE,84,97,L,8.5,U,189.5
Atlanta Hawks,2007-2008,1/2/08,@ Cleveland,L 94-98,Regular Season,FALSE,ROAD,L,FALSE,94,98,W,5,O,184.5
Atlanta Hawks,2007-2008,1/4/08,@ Indiana,L 91-113,Regular Season,FALSE,ROAD,L,FALSE,91,113,L,2.5,O,195
Atlanta Hawks,2007-2008,1/5/08,New Jersey,L 107-113,Regular Season,TRUE,HOME,L,FALSE,107,113,L,-4.5,O,187.5
Atlanta Hawks,2007-2008,1/9/08,Cleveland,W 90-81,Regular Season,FALSE,HOME,W,FALSE,90,81,W,-2.5,U,188
Atlanta Hawks,2007-2008,1/11/08,Washington,L 98-102 (OT),Regular Season,FALSE,HOME,L,TRUE,98,102,L,-2.5,O,192.5
Atlanta Hawks,2007-2008,1/13/08,Chicago,W 105-84,Regular Season,FALSE,HOME,W,FALSE,105,84,W,-4,O,187.5
Atlanta Hawks,2007-2008,1/15/08,Denver,W 104-93,Regular Season,FALSE,HOME,W,FALSE,104,93,W,-3,U,209
Atlanta Hawks,2007-2008,1/16/08,@ Milwaukee,L 80-87,Regular Season,TRUE,ROAD,L,FALSE,80,87,L,3.5,U,191
